W,M
projection,"예상, 추정, 투영, 영상, 돌기, 돌출부"
rate,"비율, 속도, 요금, 가격, 등급, 평가하다, 평가되다, 간주하다, 간주되다"
ratio,"비율, 비"
rational,"이성적인, 분별 있는, 이치에 맞는"
rationally,이성적으로
rationality,합리성
rationalize,합리화하다
reason,"이유, 이성, 판단력, 추리하다, 추론하다"
reasonable,"합리적인, 이성적인, 적당한, (가격이) 알맞은"
fort,"요새, 성채, 보루"
fortress,"(fort보다 대규모의) 요새, 요새 도시"
fortify,"요새화하다, 강화하다, 기운을 북돋우다"
effort,"노력, 수고"
comfort,"위로하다, 편안하게 하다, 편안함, 안락, 위로"
comfortable,"편안한, 안락한"
force,"(물리적) 힘, 폭력, 영향력, 병력, 군대, 억지로 ...하게 하다, 강요하다"
forceful,"(사람, 말 등이) 강력한, 힘이 있는"
reinforce,"강화하다, 증강[보강]하다"
reinforcement,"강화, 증강, 보강"
