W,M
currently,"지금, 현재"
currency,"(유통) 화폐, 통화, (화폐 등의) 유통"
curriculum,"교과[이수] 과정, 교과목"
curricular,교과[이수] 과정의
occur,"발생하다, 일어나다, (생각 등이) 떠오르다"
occurrence,"(사건 등의) 발생, 사건, 일어난 일"
excursion,"(특정 목적을 위한) 짧은 여행, 소풍, 옆길로 빗나감, 탈선"
cure,"치료하다, (문제 등을) 해결하다, 치료(법), 치료약, 해결책"
curable,고칠 수 있는
curious,"호기심이 강한, ...을 알고 싶어 하는, 이상한, 묘한"
curiosity,"호기심, 진기함, 진기한 것[사람]"
accurate,"(정보, 수치, 기계 등이) 정확한, 정밀한"
accuracy,"정확(성), 정밀(도)"
divide,"나누다, 분할하다, 분열되다"
division,"분할, 분열, 나눗셈, 나누기, 부(部), 부분"
individual,"개별의, 개개의, 독특한, 특유의, 개인, 개체, 사람"
individually,개별적으로
individuality,"개성, 특성"
devise,"(방법, 장치 등을) 고안하다, 궁리하다"
device,"(기계적) 장치, 고안물, (어떤 일을 성취하기 위한) (특별한) 방법, 방책, 계획"
widow,"미망인, 과부"
territory,"영토, 지방, 지역, 구역, 영역, 분야"
territorial,"영토의, 영토와 관련된"
terrestrial,"지구(상)의, 지상의, 육지의"
mediterranean,지중해(의)
attend,"(...에) 출석[참석]하다, 돌보다, 간호하다, 수행하다, 다루다, 처리하다, 주의를 기울이다"
attendant,"시중드는 사람, 수행원"
attendance,"출석(수), 참석(수)"
attention,"주목, 주의, 관심, 시중, 돌봄"
attentive,"주의 깊은, 세심한"
pretend,"...인 체하다, 속이다, 가장하다"
extend,"연장하다, 확장하다, 연장되다, 확장되다, 뻗다, 내밀다, (도움, 친절 등을) 베풀다, 제공하다"
extent,"넓이, 크기, 범위, 한도, 정도"
extension,"(기간, 범위 등의) 연장, 넓힘, (전화) 내선"
extensive,"아주 넓은, 광범위한"
intend,"...할 작정이다, 의도하다, 고의로 하다"
intent,"의도, 목적, 열의가 있는, 전념하는"
intention,"의도, 의향, 목적"
intentional,"의도적인, 고의의"
intentionally,"의도적으로, 고의로"
tend,"(...하는) 경향이 있다, ...하기 쉽다, 돌보다, 보살피다"
tendency,"성향, 경향, 추세"
tender,"(음식, 성질, 성격 등이) 부드러운, 연한, 다정한, 제공[제출]하다 (격식체), (공사 등에) 입찰하다"
tenderness,"유연함, 민감함, 상냥함, 친절"
tense,"긴장한, 팽팽하게 당겨진, 시제"
tension,"긴장 (상태), 팽팽함"
intense,"강렬한, 심한, 열렬한, 열심인"
intensive,"강한, 집중적인, 철저한"
intensity,"강렬함, 열렬함"
possible,"가능한, 있을 수 있는"
possibility,"가능성, 가망"
possibly,"아마도, 어쩌면, 혹시"
possess,"가지다, 소유하다, (감정, 생각 등이) 사로잡다, 지배하다"
possession,"소유(물), 소지품, 재산, 소지, 소유, 점유, 속국, 점령지"
potential,"잠재적인, 가능성 있는, 잠재력, 가능성"
complete,"전체의, 전부의, 완전한, 완성된, 끝마치다, 완료하다, (서류 등을) 작성하다"
completely,완전히
completion,"완성, 완료, 달성"
complement,"보충물, 보완하는 것, 보완하다, 보충하다"
complementary,"상호 보완적인, 어울리는"
implement,"도구, 연장, 용구, (정책, 계획 등을) 실행[이행]하다"
implementation,"이행, 실행"
implemental,"도구의, 도구가 되는, 도움이 되는"
compliment,"칭찬, 찬사, (의례적인) 인사말, 칭찬[찬양]하다"
accomplish,"(임무 등을) 이루다, 성취하다, 완성하다"
accomplishment,"업적, 성취, 완성"
supply,"공급(량), 보급품, 필수품, (물건을) 공급하다"
supplier,"공급자, 공급[제조] 회사"
plenty,"많음, 풍부함, 충분함"
plentiful,"많은, 풍부한, 충분한"
cultivate,"경작하다, 재배하다, (품성, 능력 등을) 기르다, 계발하다"
cultivation,"경작, 재배, 계발, 수양"
culture,"(집단, 국가 등의) 문화, (미술, 문학, 음악 등의) 지적, 예술적 활동, 교양"
cultural,"문화의, 문화적인"
agriculture,"농업, 농사, 농학"
agricultural,"농업의, 농사의, 농학의"
colony,"식민지, (특정인, 동식물의) 집단, 부락, 군집"
colonial,"식민지의, 식민지 시대의"
colonize(colonise),"식민지화하다, (동식물이) 집단으로 서식하다"
colonist,"식민지 이주자, 식민지 주민"
insult,"모욕하다, 창피를 주다, 모욕, 무례(한 말, 행동)"
result,"결과, 결말, ...의 결과로서 일어나다, ...에 기인하다, ...의 결과를 낳다, ...로 끝나다"
assault,"폭행(죄), 습격, 폭행하다, 습격하다"
salient,"두드러진, 돌출한, 가장 중요한"
suicide,자살
pesticide,"살충제, 농약"
decision,"결정, 결단력"
decide,결정하다
decisive,"결정적인, 결단력 있는"
precise,"(수치, 정보 등이) 정확한, 정밀한"
precisely,"정확히, 정밀하게"
precision,정확[정밀](도)
precede,"...보다 앞서다, ...에 선행하다, ...보다 먼저 일어나다"
precedent,"전례, 선례, 판례"
unprecedented,"전례 없는, 유례 없는"
exceed,"(수, 양, 범위, 권한 등을) 넘다, 초과하다"
excess,"초과(량), 지나침, 과잉, 초과의"
excessive,"지나친, 과도한"
proceed,"계속하다, 진행하다, 계속되다, 진행되다, 나아가다"
procedure,"절차, 진행 방식"
process,"진행, 과정, (생산) 공정, 가공 처리, (식품, 재료 등을) (가공) 처리하다, (서류, 정보 등을) 처리[정리]하다"
proceeding,"행사, 일련의 행위들, 소송 (절차)"
succeed,"(...에) 성공하다, 성과를 거두다, 뒤를 잇다, 계승[상속]하다"
success,"성공, 출세"
successful,"성공적인, 출세한"
successive,연속[계속]적인
succession,"연속, 계승, 상속"
successor,"후임자, 후계자"
predecessor,전임자
access,"(장소, 정보 등에의) 접근(성), 이용(성), 진입[접근] 방법, (정보 등을) 입수하다, (정보에) 접근하다, (장소에) 들어가다"
accessible,"(장소, 사람에) 접근하기 쉬운, (정보, 물건이) 입수[이용]하기 쉬운"
cease,"그만두다, 멈추다, 끝나다"
ceaseless,끊임없는
