W,M
specially,"(특정 목적을 위해) 특별히, 특별하게"
despite,...에도 불구하고
abstract,"추상적인, 이론적인, 추출하다, 요약하다, 추상, 요약, 발췌"
attract,"(주의, 흥미 등을) 끌다, 끌어당기다, 매혹하다"
attractive,"매력적인, 마음을 끄는"
attraction,"매력, 명소, 명물"
contract,"계약을 맺다, 수축하다, 줄다, 수축시키다, 줄이다, 계약(서)"
contraction,"수축, 축소"
distract,"(마음, 주의 등을) 흐트러뜨리다, 산만하게 하다"
distraction,"주의 산만, 정신이 흐트러짐, 기분 전환, 오락 활동"
extract,"뽑아내다, 추출하다, 발췌하다, 추출물, 발췌"
extraction,추출 (과정)
treat,"대(우)하다, 다루다, 치료하다, 대접하다, 한턱내다, 특별한 것[선물], 대접, 한턱"
treatment,"치료, 대우, 처우"
treaty,"(국가 간의) 조약, 협정"
retreat,"후퇴하다, 물러서다, (생각, 결정, 태도 등을) 철회하다, 바꾸다, 후퇴, 퇴각, 철회"
trace,"추적하다, 자국을 따라가다, (유래, 출처, 원인 등을) 밝혀내다, 알아내다, 자국, 자취"
track,"통로, 오솔길, 지나간 자국, 흔적, 철도, 선로, 경주로, 트랙, 자취를 따라가다"
trail,"질질 끌다, 끌리다, 추적하다, 흔적을 쫓다, 오솔길, 작은 길, 자국, 흔적, 실마리"
trait,"특성, 특징"
portray,"묘사하다, 표현하다"
portrait,"초상화, 인물 사진, (대상에 대한 상세한) 묘사"
generate,"생산[창출]하다, 일으키다, (전기 등을) 발생시키다"
generation,"세대, 일대(一代), 발생"
generous,"(성품이) 관대한, 인색하지 않은, (크기, 양 등이) 풍부한"
generosity,"관대함, 인심이 좋음"
general,"일반적인, 보편적인, 대체적인, 대략적인, 전체적인, 전반적인, 장군, 장성, 대장"
generally,"일반적으로, 대개"
generalize,일반화하다
gender,"성, 성별"
genderless,성별 구분이 없는
gene,유전자
genetic,"유전의, 유전학의"
genetics,유전학
genetically,"유전적으로, 유전학적으로"
genius,천재(적 재능)
gentle,"온화한, 상냥한, 친절한, 적당한, 부드러운, 완만한"
gently,"다정하게, 부드럽게"
genuine,"진짜의, 진품의, 진실된, 진정한"
congenital,"(병, 장애 등이) 선천적인, (기질, 특성 등이) 타고난, 천성의"
pregnant,"임신한, (의미, 중요성 등을) 품은, 내포하고 있는"
pregnancy,임신
